Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,MemberRank,RawMemberRank,M1Symbol
2316,SignalA,StrongGroup,09:23:23,09:26:53,takeProfit,44643,0.45%,0h03m30s,印刷電路板,8,1,1,
2345,SignalA,StrongGroup,09:34:55,09:42:34,takeProfit,146341,1.46%,0h07m39s,網路通訊,1,1,1,
6515,SignalA,StrongGroup,09:43:57,09:47:22,takeProfit,112782,1.13%,0h03m25s,探針卡,1,1,1,
2345,SignalA,StrongGroup,10:06:22,10:14:26,stopLoss,-144928,-1.45%,0h08m04s,網路通訊,1,1,1,
2345,SignalA,StrongGroup,10:17:32,10:22:49,stopLoss,-144928,-1.45%,0h05m17s,網路通訊,1,1,1,
2316,SignalA,StrongGroup,09:51:29,11:02:15,stopLoss,-133333,-1.33%,1h10m46s,印刷電路板,8,1,1,
3037,SignalA,StrongGroup,09:43:19,11:24:41,stopLoss,-34707,-0.35%,1h41m22s,ABF,2,1,1,
