Metric,Value
Total Trades,5
Total PnL,-2104
Win Rate,60.0%
Win Count,3
Loss Count,2
Avg Win,74358
Avg Loss,-112589
Profit Factor,0.99
Max Single Win,106888
Max Single Loss,-141844
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,202450
Avg Holding Duration,0h43m59s
Avg Return%,-0.00%
