Metric,Value
Total Trades,4
Total PnL,-377074
Win Rate,25.0%
Win Count,1
Loss Count,3
Avg Win,121212
Avg Loss,-166095
Profit Factor,0.24
Max Single Win,121212
Max Single Loss,-192878
Max Consecutive Wins,1
Max Consecutive Losses,3
Max Drawdown,498286
Avg Holding Duration,0h38m18s
Avg Return%,-0.94%
