Metric,Value
Total Trades,11
Total PnL,2225
Win Rate,54.5%
Win Count,6
Loss Count,5
Avg Win,123175
Avg Loss,-147365
Profit Factor,1.00
Max Single Win,215385
Max Single Loss,-165289
Max Consecutive Wins,3
Max Consecutive Losses,2
Max Drawdown,472107
Avg Holding Duration,0h53m51s
Avg Return%,0.00%
