Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
leave     ,8074      ,95052701470         ,692000         ,-2.21294e+07   ,-1.95924e+06   ,-              ,-              ,takeProfit     ,29112.1        
leave     ,8074      ,95056814690         ,693000         ,-2.01119e+07   ,58224.2        ,-              ,-              ,takeProfit     ,0              
enter     ,2472      ,100758368850        ,1210000        ,-3.01119e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,82644.6        ,被動元件(G5/M1/R4)
leave     ,6443      ,102425627748        ,411000         ,-2.02676e+07   ,-155689        ,-              ,-              ,stopLoss       ,0              
leave     ,2472      ,103031134969        ,1190000        ,-1.04329e+07   ,-165289        ,-              ,-              ,stopLoss       ,0              
enter     ,3443      ,104758922454        ,24700000       ,-2.04329e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,4048.58        ,設計IP(G12/M1/R3)
leave     ,1303      ,105727609721        ,885000         ,-1.8417e+07    ,-7.98405e+06   ,-              ,-              ,takeProfit     ,91116.2        
enter     ,2308      ,105935804379        ,13700000       ,-2.8417e+07    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,7299.27        ,電供(G12/M1/R1)
leave     ,2308      ,105939233629        ,13700000       ,-2.6417e+07    ,-8e+06         ,-              ,-              ,takeProfit     ,5839.42        
leave     ,1303      ,105942032222        ,886000         ,-2.43987e+07   ,-5.96583e+06   ,-              ,-              ,takeProfit     ,68337.1        
leave     ,1303      ,105942090492        ,887000         ,-2.23782e+07   ,-3.94533e+06   ,-              ,-              ,takeProfit     ,45558.1        
leave     ,1303      ,110000882091        ,888000         ,-2.03555e+07   ,-1.92255e+06   ,-              ,-              ,takeProfit     ,22779          
leave     ,1303      ,110204086038        ,889000         ,-1.83304e+07   ,102506         ,-              ,-              ,takeProfit     ,0              
leave     ,3443      ,111205346477        ,24350000       ,-8.47211e+06   ,-141700        ,-              ,-              ,stopLoss       ,0              
enter     ,6213      ,112609107024        ,1300000        ,-1.84721e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,76923.1        ,PCB上游(G2/M1/R3)
leave     ,2308      ,113154364012        ,13750000       ,-1.64648e+07   ,-5.9927e+06    ,-              ,-              ,takeProfit     ,4379.56        
enter     ,5234      ,113721052976        ,4330000        ,-2.64648e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,23094.7        ,特化(G12/M1/R1)
leave     ,6213      ,123154722830        ,1320000        ,-2.4434e+07    ,-7.96923e+06   ,-              ,-              ,takeProfit     ,61538.5        
leave     ,2308      ,124353130122        ,13800000       ,-2.24194e+07   ,-3.9781e+06    ,-              ,-              ,takeProfit     ,2919.71        
leave     ,2308      ,125646851253        ,13850000       ,-2.03975e+07   ,-1.9562e+06    ,-              ,-              ,takeProfit     ,1459.85        
leave     ,5234      ,125920550195        ,4430000        ,-1.63075e+07   ,-5.90993e+06   ,-              ,-              ,takeProfit     ,13856.8        
leave     ,6213      ,130411991782        ,1325000        ,-1.4269e+07    ,-5.93077e+06   ,-              ,-              ,takeProfit     ,46153.8        
leave     ,5234      ,130433299006        ,4435000        ,-1.22205e+07   ,-3.86143e+06   ,-              ,-              ,takeProfit     ,9237.88        
leave     ,6213      ,131006638596        ,1330000        ,-1.01744e+07   ,-3.88462e+06   ,-              ,-              ,takeProfit     ,30769.2        
leave     ,6213      ,131417490916        ,1335000        ,-8.12051e+06   ,-1.83077e+06   ,-              ,-              ,takeProfit     ,15384.6        
leave     ,5234      ,132000352865        ,4410000        ,-4.05123e+06   ,207852         ,-              ,-              ,timeExit       ,0              
leave     ,2308      ,132000758926        ,13800000       ,-2.04393e+06   ,51094.9        ,-              ,-              ,timeExit       ,0              
leave     ,6213      ,132000966202        ,1335000        ,2225.04        ,215385         ,-              ,-              ,timeExit       ,0              
