Metric,Value
Total Trades,4
Total PnL,-363801
Win Rate,25.0%
Win Count,1
Loss Count,3
Avg Win,50590
Avg Loss,-138130
Profit Factor,0.12
Max Single Win,50590
Max Single Loss,-168776
Max Consecutive Wins,1
Max Consecutive Losses,3
Max Drawdown,414391
Avg Holding Duration,1h13m37s
Avg Return%,-0.91%
