Category,Value,Count,WinRate,TotalPnL,AvgPnL
SignalType,SignalA,3,66.7%,357271,119090
EnterCause,StrongGroup,3,66.7%,357271,119090
LeaveCause,timeExit,1,0.0%,0,0
LeaveCause,takeProfit,2,100.0%,357271,178635
