Metric,Value
Total Trades,2
Total PnL,-175107
Win Rate,0.0%
Win Count,0
Loss Count,2
Avg Win,0
Avg Loss,-87553
Profit Factor,0.00
Max Single Win,-29240
Max Single Loss,-145867
Max Consecutive Wins,0
Max Consecutive Losses,2
Max Drawdown,175107
Avg Holding Duration,0h33m31s
Avg Return%,-0.88%
