Metric,Value
Total Trades,8
Total PnL,336388
Win Rate,75.0%
Win Count,6
Loss Count,2
Avg Win,105042
Avg Loss,-146933
Profit Factor,2.14
Max Single Win,170455
Max Single Loss,-158730
Max Consecutive Wins,3
Max Consecutive Losses,1
Max Drawdown,158730
Avg Holding Duration,0h46m24s
Avg Return%,0.42%
