Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,MemberRank,RawMemberRank,M1Symbol
2451,SignalA,StrongGroup,09:20:55,09:23:57,stopLoss,-154242,-1.54%,0h03m02s,記憶體,1,1,2,
3624,SignalA,StrongGroup,09:20:12,09:31:33,stopLoss,-146789,-1.47%,0h11m21s,被動元件,3,1,1,
6282,SignalA,StrongGroup,09:38:44,09:46:50,takeProfit,116414,1.16%,0h08m06s,電供,1,1,2,
6442,SignalA,StrongGroup,09:36:14,09:50:22,takeProfit,75758,0.76%,0h14m08s,CPO,7,1,1,
6257,SignalA,StrongGroup,09:23:24,10:12:31,stopLoss,-173160,-1.73%,0h49m07s,IC封測,2,1,1,
6282,SignalA,StrongGroup,10:32:22,10:43:14,takeProfit,115875,1.16%,0h10m52s,電供,1,1,2,
