Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,MemberRank,RawMemberRank
3532,SignalA,StrongGroup,09:20:19,09:26:18,stopLoss,-136054,-1.36%,0h05m59s,矽晶圓指標,1,1,1
5234,SignalA,StrongGroup,09:36:31,10:05:45,stopLoss,-144928,-1.45%,0h29m14s,電子化工材料,7,1,1
3037,SignalA,StrongGroup,11:18:19,12:38:21,stopLoss,-134048,-1.34%,1h20m02s,ABF,1,1,1
2301,SignalA,StrongGroup,11:08:56,12:41:09,stopLoss,-128134,-1.28%,1h32m13s,電供,10,1,2
