Category,Value,Count,WinRate,TotalPnL,AvgPnL
SignalType,SignalA,5,40.0%,-92259,-18452
EnterCause,StrongGroup,5,40.0%,-92259,-18452
LeaveCause,timeExit,2,50.0%,56838,28419
LeaveCause,takeProfit,1,100.0%,129450,129450
LeaveCause,stopLoss,2,0.0%,-278547,-139273
