Metric,Value
Total Trades,4
Total PnL,-374306
Win Rate,25.0%
Win Count,1
Loss Count,3
Avg Win,40650
Avg Loss,-138319
Profit Factor,0.10
Max Single Win,40650
Max Single Loss,-170068
Max Consecutive Wins,1
Max Consecutive Losses,2
Max Drawdown,374306
Avg Holding Duration,0h47m53s
Avg Return%,-0.94%
