Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,MemberRank,RawMemberRank,M1Symbol,EntryPrice,EntryVWAP,DayHigh,PrevClose,0050OpenChg%,VolRatio,MonthTradingVal,IsPrevDayLU,IsDisposition,HadCircuitBreaker,GroupLimitUpCount,0050EntryChg%
2303,SignalA,StrongGroup,09:31:16,09:35:38,stopLoss,-98847,-0.99%,0h04m22s,晶圓代工,12,1,1,,60.70,60.43,61.20,58.50,-0.417,2.52,6968831642,0,0,1,0,-0.625
5498,SignalA,StrongGroup,09:38:38,09:44:30,stopLoss,-93960,-0.94%,0h05m52s,鑽孔,9,1,1,,74.50,74.26,76.00,70.00,-0.417,0.69,1405671110,0,0,1,0,-0.625
1815,SignalA,StrongGroup,09:36:12,09:45:38,stopLoss,-192308,-1.92%,0h09m26s,玻纖布,3,2,2,5340,104.00,103.01,105.50,98.80,-0.417,2.51,7903046495,0,0,1,2,-0.625
2634,SignalA,StrongGroup,09:44:04,09:57:15,stopLoss,-87719,-0.88%,0h13m11s,軍工,11,2,2,3149,57.00,56.86,57.70,55.40,-0.417,2.21,656283192,0,0,1,0,-0.625
3374,SignalA,StrongGroup,09:38:33,10:17:29,stopLoss,-112676,-1.13%,0h38m56s,IC封測,10,2,2,3264,177.50,176.81,179.50,175.00,-0.417,0.75,1282875275,0,0,1,1,-0.625
2312,SignalA,StrongGroup,10:14:16,11:00:56,stopLoss,-152355,-1.52%,0h46m40s,車用電子,12,1,1,,36.10,35.78,36.95,33.70,-0.417,3.11,2166813477,0,0,1,0,-0.625
6244,SignalA,StrongGroup,10:45:18,11:14:40,stopLoss,-149893,-1.50%,0h29m22s,太陽能,17,2,2,3576,23.35,23.14,23.75,22.90,-0.417,0.53,393944187,0,0,1,0,-0.625
7717,SignalA,StrongGroup,09:52:14,11:30:14,stopLoss,-94439,-0.94%,1h38m00s,低軌衛星,6,2,2,2485,476.50,474.98,494.50,460.00,-0.417,2.50,208687050,0,1,1,1,-0.625
4768,SignalA,StrongGroup,10:31:06,11:32:22,stopLoss,-128655,-1.29%,1h01m16s,IC封測,10,2,2,3264,427.50,424.24,432.00,419.00,-0.417,0.49,776801475,0,0,1,1,-0.625
1503,SignalA,StrongGroup,09:32:27,12:07:49,stopLoss,35961,0.36%,2h35m22s,重電,8,2,2,1514,203.00,201.64,206.00,197.00,-0.417,3.17,615194100,0,0,1,0,-0.625
8074,SignalA,StrongGroup,09:49:43,12:25:35,stopLoss,-84034,-0.84%,2h35m52s,鑽孔,13,2,2,5498,59.50,59.30,61.50,56.60,-0.417,0.79,1056888642,0,0,1,0,-0.625
3376,SignalA,StrongGroup,09:37:05,13:20:00,timeExit,232090,2.32%,3h42m55s,軸承,15,2,2,6805,222.50,219.89,222.00,218.00,-0.417,0.30,967363650,0,0,1,0,-0.625
3149,SignalA,StrongGroup,09:33:22,13:20:01,timeExit,267752,2.68%,3h46m39s,軍工,13,1,1,,46.70,46.22,47.25,44.40,-0.417,2.02,460054990,0,0,1,0,-0.625
4961,SignalA,StrongGroup,10:43:48,13:20:03,timeExit,-64725,-0.65%,2h36m15s,IC設計,19,2,2,6415,154.50,153.30,155.00,149.00,-0.417,1.47,207352000,0,0,1,0,-0.625
1514,SignalA,StrongGroup,11:28:01,13:20:03,timeExit,-41494,-0.41%,1h52m02s,重電,17,1,1,,120.50,119.54,124.00,114.00,-0.417,9.44,470983515,1,0,1,0,-0.625
3532,SignalA,StrongGroup,10:10:52,13:20:07,timeExit,145455,1.45%,3h09m15s,矽晶圓指標,15,2,2,6488,137.50,135.70,140.00,133.50,-0.417,1.20,729822435,0,0,1,0,-0.625
5483,SignalA,StrongGroup,09:58:26,13:20:19,timeExit,42735,0.43%,3h21m53s,太陽能,17,1,1,,117.00,116.20,117.50,115.00,-0.417,0.45,1117912625,0,0,1,0,-0.625
6155,SignalA,StrongGroup,09:37:43,13:20:22,lockedLimitUp,473553,4.74%,3h42m39s,被動元件,11,2,2,3357,57.70,57.26,58.40,55.60,-0.417,0.85,445820847,0,0,1,1,-0.625
