Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,MemberRank,RawMemberRank,M1Symbol,EntryPrice,EntryVWAP,DayHigh,PrevClose,0050OpenChg%,VolRatio,MonthTradingVal,IsPrevDayLU,IsDisposition,HadCircuitBreaker,GroupLimitUpCount,0050EntryChg%
2441,SignalA,StrongGroup,09:42:44,09:42:44,stopLoss,-96154,-0.96%,0h00m00s,記憶體封測,15,2,2,6239,104.00,103.62,105.50,102.50,0.208,0.99,1553587590,0,0,1,0,0.277
8422,SignalA,StrongGroup,09:39:58,09:46:17,stopLoss,-133011,-1.33%,0h06m19s,回收焚化相關指標,14,2,2,8390,41.35,41.01,41.75,40.10,0.208,0.52,5826005770,0,0,1,0,0.277
2368,SignalA,StrongGroup,09:41:39,09:50:17,stopLoss,-159652,-1.60%,0h08m38s,CCL,6,2,2,4989,689.00,681.85,692.00,666.00,0.208,1.56,5455006550,0,0,1,1,0.277
6643,SignalA,StrongGroup,09:33:58,10:03:37,stopLoss,-142276,-1.42%,0h29m39s,設計IP,4,1,1,,492.00,487.86,506.00,461.00,0.208,5.23,375407800,0,0,1,0,0.277
8390,SignalA,StrongGroup,09:55:24,10:22:42,stopLoss,-147783,-1.48%,0h27m18s,回收焚化相關指標,15,1,1,,101.50,101.08,102.50,98.60,0.208,0.83,269204985,0,0,1,0,0.277
6485,SignalA,StrongGroup,11:30:55,11:39:08,stopLoss,-173913,-1.74%,0h08m13s,記憶體,17,1,1,,115.00,113.86,116.00,108.50,0.208,0.91,750950330,0,0,1,2,0.277
1560,SignalA,StrongGroup,09:51:05,13:20:00,timeExit,-57937,-0.58%,3h28m55s,再生晶圓,10,1,1,,431.50,427.01,432.50,419.50,0.208,0.69,1583833850,0,0,1,0,0.277
3017,SignalA,StrongGroup,09:39:26,13:20:00,timeExit,-69930,-0.70%,3h40m34s,散熱,4,2,2,2486,1430.00,1412.01,1430.00,1370.00,0.208,1.64,7058537250,0,0,1,0,0.277
3374,SignalA,StrongGroup,09:39:56,13:20:00,timeExit,285013,2.85%,3h40m04s,IC封測,10,1,1,,187.50,186.04,190.00,179.00,0.208,2.74,1646001625,0,0,1,0,0.277
5347,SignalA,StrongGroup,09:35:17,13:20:00,lockedLimitUp,354528,3.55%,3h44m43s,晶圓代工,5,1,1,,153.50,151.73,154.50,145.00,0.208,1.09,5333960265,0,0,1,0,0.277
6274,SignalA,StrongGroup,10:35:26,13:20:01,timeExit,-37665,-0.38%,2h44m35s,CCL,7,2,2,4989,531.00,526.12,536.00,512.00,0.208,1.24,4407726650,0,0,1,1,0.277
2486,SignalA,StrongGroup,09:31:09,13:20:17,lockedLimitUp,200000,2.00%,3h49m08s,散熱,7,1,1,,125.00,123.88,126.50,116.00,0.208,4.44,1032704320,1,0,1,0,0.277
