Metric,Value
Total Trades,6
Total PnL,151013
Win Rate,66.7%
Win Count,4
Loss Count,2
Avg Win,117118
Avg Loss,-158730
Profit Factor,1.48
Max Single Win,163823
Max Single Loss,-158730
Max Consecutive Wins,4
Max Consecutive Losses,2
Max Drawdown,317460
Avg Holding Duration,0h45m41s
Avg Return%,0.25%
