Metric,Value
Total Trades,8
Total PnL,981441
Win Rate,62.5%
Win Count,5
Loss Count,3
Avg Win,300532
Avg Loss,-173739
Profit Factor,2.88
Max Single Win,390270
Max Single Loss,-217865
Max Consecutive Wins,5
Max Consecutive Losses,3
Max Drawdown,521216
Avg Holding Duration,2h44m32s
Avg Return%,1.23%
