Metric,Value
Total Trades,1
Total PnL,-170279
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-170279
Profit Factor,0.00
Max Single Win,-170279
Max Single Loss,-170279
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,170279
Avg Holding Duration,0h13m37s
Avg Return%,-1.70%
