Metric,Value
Total Trades,2
Total PnL,-418028
Win Rate,0.0%
Win Count,0
Loss Count,2
Avg Win,0
Avg Loss,-209014
Profit Factor,0.00
Max Single Win,-206612
Max Single Loss,-211416
Max Consecutive Wins,0
Max Consecutive Losses,2
Max Drawdown,418028
Avg Holding Duration,0h20m04s
Avg Return%,-2.09%
