Metric,Value
Total Trades,4
Total PnL,321400
Win Rate,50.0%
Win Count,2
Loss Count,2
Avg Win,283069
Avg Loss,-122369
Profit Factor,2.31
Max Single Win,305915
Max Single Loss,-223529
Max Consecutive Wins,2
Max Consecutive Losses,2
Max Drawdown,244738
Avg Holding Duration,2h37m44s
Avg Return%,0.80%
