Metric,Value
Total Trades,3
Total PnL,344252
Win Rate,66.7%
Win Count,2
Loss Count,1
Avg Win,266790
Avg Loss,-189329
Profit Factor,2.82
Max Single Win,365734
Max Single Loss,-189329
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,189329
Avg Holding Duration,2h53m46s
Avg Return%,1.15%
