Metric,Value
Total Trades,3
Total PnL,-376319
Win Rate,0.0%
Win Count,0
Loss Count,3
Avg Win,0
Avg Loss,-125440
Profit Factor,0.00
Max Single Win,-53022
Max Single Loss,-168350
Max Consecutive Wins,0
Max Consecutive Losses,3
Max Drawdown,376319
Avg Holding Duration,1h19m34s
Avg Return%,-1.25%
