Metric,Value
Total Trades,4
Total PnL,114496
Win Rate,75.0%
Win Count,3
Loss Count,1
Avg Win,91451
Avg Loss,-159858
Profit Factor,1.72
Max Single Win,167064
Max Single Loss,-159858
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,159858
Avg Holding Duration,0h32m23s
Avg Return%,0.29%
