Metric,Value
Total Trades,4
Total PnL,63769
Win Rate,50.0%
Win Count,2
Loss Count,2
Avg Win,103023
Avg Loss,-71138
Profit Factor,1.45
Max Single Win,134907
Max Single Loss,-142276
Max Consecutive Wins,1
Max Consecutive Losses,2
Max Drawdown,142276
Avg Holding Duration,1h19m59s
Avg Return%,0.16%
