Symbol: 6706 | Time: 90736687054
Symbol: 6706 | Time: 90736728545
Symbol: 6706 | Time: 90738400305
Symbol: 6706 | Time: 90739043699
Symbol: 6706 | Time: 90739595498
Symbol: 6706 | Time: 90739673251
Symbol: 6706 | Time: 90741102579
Symbol: 6706 | Time: 90744358264
Symbol: 6706 | Time: 90744587609
Symbol: 6706 | Time: 90744640382
Symbol: 6706 | Time: 90745127007
Symbol: 6706 | Time: 90745148984
Symbol: 3037 | Time: 90746145965
Symbol: 6706 | Time: 90746611770
Symbol: 3037 | Time: 90747901114
Symbol: 3037 | Time: 90748349655
Symbol: 3037 | Time: 90749153764
Symbol: 6706 | Time: 90749358466
Symbol: 6706 | Time: 90749381120
Symbol: 6706 | Time: 90749423543
Symbol: 6706 | Time: 90750562945
Symbol: 3037 | Time: 90750763791
Symbol: 3037 | Time: 90751047152
Symbol: 3037 | Time: 90751805591
Symbol: 3037 | Time: 90752083166
Symbol: 3037 | Time: 90752194037
Symbol: 6706 | Time: 90752233888
Symbol: 3037 | Time: 90752329199
Symbol: 3037 | Time: 90752641202
Symbol: 3037 | Time: 90752672675
Symbol: 3037 | Time: 90752704199
Symbol: 3037 | Time: 90752704222
Symbol: 3037 | Time: 90752704261
Symbol: 3037 | Time: 90752882654
Symbol: 3037 | Time: 90753057264
Symbol: 3037 | Time: 90753286797
Symbol: 3037 | Time: 90753608844
Symbol: 3037 | Time: 90753630729
Symbol: 3037 | Time: 90753680436
Symbol: 3037 | Time: 90754274731
Symbol: 3037 | Time: 90754286585
Symbol: 3037 | Time: 90754670243
Symbol: 3037 | Time: 90754764692
Symbol: 3037 | Time: 90754790840
Symbol: 6706 | Time: 90754792636
Symbol: 6706 | Time: 90754817315
Symbol: 3037 | Time: 90754848867
Symbol: 3037 | Time: 90754886482
Symbol: 3037 | Time: 90754990669
Symbol: 3037 | Time: 90755013113
Symbol: 6706 | Time: 90755147206
Symbol: 6706 | Time: 90755589978
Symbol: 3037 | Time: 90755892728
Symbol: 3037 | Time: 90756167495
Symbol: 3037 | Time: 90756219321
Symbol: 3037 | Time: 90756768761
Symbol: 3037 | Time: 90756808118
Symbol: 3037 | Time: 90756858959
Symbol: 3037 | Time: 90756859121
Symbol: 3037 | Time: 90757306338
Symbol: 3037 | Time: 90757648796
Symbol: 3037 | Time: 90757773316
Symbol: 3037 | Time: 90758011717
Symbol: 3037 | Time: 90758037577
Symbol: 3037 | Time: 90758037577
Symbol: 3037 | Time: 90758058515
Symbol: 3037 | Time: 90758080779
Symbol: 3037 | Time: 90758113026
Symbol: 3037 | Time: 90758163739
Symbol: 3037 | Time: 90758182781
Symbol: 3037 | Time: 90758197863
Symbol: 3037 | Time: 90758238481
Symbol: 3037 | Time: 90758419225
Symbol: 3037 | Time: 90758455903
Symbol: 3037 | Time: 90758461205
Symbol: 3037 | Time: 90758484404
Symbol: 3037 | Time: 90758492667
Symbol: 3037 | Time: 90758563780
Symbol: 3037 | Time: 90758806732
Symbol: 3037 | Time: 90758859063
Symbol: 3037 | Time: 90758911134
Symbol: 3037 | Time: 90759046384
Symbol: 3037 | Time: 90759065853
Symbol: 3037 | Time: 90759234976
Symbol: 3037 | Time: 90759247122
Symbol: 3037 | Time: 90759281256
Symbol: 3037 | Time: 90759362776
Symbol: 3037 | Time: 90759381572
Symbol: 3037 | Time: 90759400870
Symbol: 3037 | Time: 90759431576
Symbol: 3037 | Time: 90759495453
Symbol: 3037 | Time: 90759537191
Symbol: 3037 | Time: 90759595702
Symbol: 3037 | Time: 90759620835
Symbol: 3037 | Time: 90759959511
Symbol: 3037 | Time: 90759994474
Symbol: 3037 | Time: 90800049130
Symbol: 3037 | Time: 90800049130
Symbol: 3037 | Time: 90800148577
Symbol: 3037 | Time: 90800186621
Symbol: 3037 | Time: 90800273138
Symbol: 3037 | Time: 90800273456
Symbol: 3037 | Time: 90800501154
Symbol: 3037 | Time: 90800858194
Symbol: 3037 | Time: 90800960426
Symbol: 3037 | Time: 90801043028
Symbol: 3037 | Time: 90801055175
Symbol: 3037 | Time: 90801443871
Symbol: 6706 | Time: 90802060566
Symbol: 3037 | Time: 90802074489
Symbol: 3037 | Time: 90802269785
Symbol: 3037 | Time: 90802662761
Symbol: 3037 | Time: 90802841703
Symbol: 3037 | Time: 90802983247
Symbol: 3037 | Time: 90803034887
Symbol: 3037 | Time: 90803347389
Symbol: 3037 | Time: 90803739377
Symbol: 3037 | Time: 90804090500
Symbol: 3037 | Time: 90804090500
Symbol: 3037 | Time: 90804144968
Symbol: 3037 | Time: 90804373963
Symbol: 3037 | Time: 90804463152
Symbol: 3037 | Time: 90804641055
Symbol: 3037 | Time: 90804881283
Symbol: 3037 | Time: 90805236902
Symbol: 3037 | Time: 90805356401
Symbol: 3037 | Time: 90805356401
Symbol: 3037 | Time: 90805420479
Symbol: 3037 | Time: 90805757738
Symbol: 3037 | Time: 90805771198
Symbol: 3037 | Time: 90806122213
Symbol: 3037 | Time: 90806122213
Symbol: 3037 | Time: 90806216914
Symbol: 3037 | Time: 90806450837
Symbol: 3037 | Time: 90806512189
Symbol: 3037 | Time: 90806626743
Symbol: 3037 | Time: 90806768381
Symbol: 3037 | Time: 90807085886
Symbol: 3037 | Time: 90807237667
Symbol: 3037 | Time: 90807238140
Symbol: 3037 | Time: 90807475964
Symbol: 3037 | Time: 90807502065
Symbol: 3037 | Time: 90807616608
Symbol: 3037 | Time: 90807671430
Symbol: 3037 | Time: 90807820993
Symbol: 3037 | Time: 90808221653
Symbol: 3037 | Time: 90808235226
Symbol: 3037 | Time: 90808283527
Symbol: 3037 | Time: 90808346706
Symbol: 3037 | Time: 90808631100
Symbol: 3037 | Time: 90809095508
Symbol: 3481 | Time: 90809144488
Symbol: 3037 | Time: 90809189300
Symbol: 3037 | Time: 90809265010
Symbol: 3037 | Time: 90809319423
Symbol: 3037 | Time: 90809411058
Symbol: 3037 | Time: 90809448049
Symbol: 3037 | Time: 90809506077
Symbol: 3037 | Time: 90809585905
Symbol: 6706 | Time: 90809842654
Symbol: 3037 | Time: 90809842678
Symbol: 3037 | Time: 90809860798
Symbol: 3037 | Time: 90809894978
Symbol: 3037 | Time: 90809967706
Symbol: 3037 | Time: 90810021312
Symbol: 3037 | Time: 90810081825
Symbol: 3037 | Time: 90810246643
Symbol: 3481 | Time: 90810619984
Symbol: 3037 | Time: 90810749836
Symbol: 3481 | Time: 90810806214
Symbol: 3481 | Time: 90810844026
Symbol: 3037 | Time: 90810906347
Symbol: 3481 | Time: 90811421099
Symbol: 3481 | Time: 90811498971
Symbol: 3481 | Time: 90811526500
Symbol: 3481 | Time: 90811526544
Symbol: 3481 | Time: 90811581079
Symbol: 3481 | Time: 90811611505
Symbol: 3481 | Time: 90811611515
Symbol: 3481 | Time: 90811759253
Symbol: 3037 | Time: 90811788157
Symbol: 3481 | Time: 90812046052
Symbol: 3481 | Time: 90812163204
Symbol: 3481 | Time: 90812194496
Symbol: 3481 | Time: 90812284025
Symbol: 3037 | Time: 90812323535
Symbol: 3481 | Time: 90812384682
Symbol: 3037 | Time: 90812410487
Symbol: 3481 | Time: 90812446445
Symbol: 3037 | Time: 90812523912
Symbol: 3481 | Time: 90812524750
Symbol: 3481 | Time: 90812629656
Symbol: 3037 | Time: 90812641325
Symbol: 3037 | Time: 90812772013
Symbol: 3037 | Time: 90812926464
Symbol: 3481 | Time: 90813116146
Symbol: 3037 | Time: 90813131414
Symbol: 3481 | Time: 90813143235
Symbol: 3481 | Time: 90813381336
Symbol: 3481 | Time: 90813478175
Symbol: 6706 | Time: 90813528596
Symbol: 3481 | Time: 90813596635
Symbol: 3037 | Time: 90813623878
Symbol: 6706 | Time: 90813631461
Symbol: 3481 | Time: 90813685999
Symbol: 3481 | Time: 90813716366
Symbol: 3037 | Time: 90813793945
Symbol: 3481 | Time: 90813866915
Symbol: 6706 | Time: 90813907936
Symbol: 3481 | Time: 90814065553
Symbol: 3481 | Time: 90814345148
Symbol: 3481 | Time: 90814491382
Symbol: 3481 | Time: 90814507161
Symbol: 3481 | Time: 90814587844
Symbol: 3481 | Time: 90814649783
Symbol: 3481 | Time: 90814708132
Symbol: 3481 | Time: 90814731947
Symbol: 3481 | Time: 90814758012
Symbol: 3481 | Time: 90814825968
Symbol: 3481 | Time: 90814981735
Symbol: 3037 | Time: 90814999511
Symbol: 3481 | Time: 90815051534
Symbol: 3481 | Time: 90815126382
Symbol: 3481 | Time: 90815383528
Symbol: 3481 | Time: 90815522762
Symbol: 3037 | Time: 90815540417
Symbol: 3481 | Time: 90815586481
Symbol: 3481 | Time: 90815752225
Symbol: 3481 | Time: 90815956854
Symbol: 3037 | Time: 90816052065
Symbol: 3037 | Time: 90816128398
Symbol: 3481 | Time: 90816229310
Symbol: 3037 | Time: 90816353651
Symbol: 3037 | Time: 90816360912
Symbol: 3481 | Time: 90816508905
Symbol: 3037 | Time: 90816599414
Symbol: 3481 | Time: 90816610288
Symbol: 3481 | Time: 90816685016
Symbol: 3481 | Time: 90816756943
Symbol: 3481 | Time: 90816758275
Symbol: 6706 | Time: 90817005903
Symbol: 3481 | Time: 90817032279
Symbol: 3037 | Time: 90817096590
Symbol: 3481 | Time: 90817130084
Symbol: 3037 | Time: 90817179938
Symbol: 3481 | Time: 90817176238
Symbol: 3481 | Time: 90817307887
Symbol: 6706 | Time: 90817365178
Symbol: 3037 | Time: 90817518133
Symbol: 3037 | Time: 90817554924
Symbol: 3481 | Time: 90817662460
Symbol: 3481 | Time: 90817767266
Symbol: 3481 | Time: 90817791729
Symbol: 3481 | Time: 90817800817
Symbol: 3481 | Time: 90817951830
Symbol: 3481 | Time: 90818083273
Symbol: 3037 | Time: 90818220884
Symbol: 3481 | Time: 90818295683
Symbol: 3481 | Time: 90818327433
Symbol: 3481 | Time: 90818355448
Symbol: 3037 | Time: 90818445240
Symbol: 3037 | Time: 90818614232
Symbol: 3481 | Time: 90818657172
Symbol: 3481 | Time: 90818699770
Symbol: 3481 | Time: 90818718640
Symbol: 3481 | Time: 90818739952
Symbol: 3481 | Time: 90818767064
Symbol: 3037 | Time: 90819026308
Symbol: 3481 | Time: 90819027688
Symbol: 3481 | Time: 90819050426
Symbol: 3037 | Time: 90819120982
Symbol: 3037 | Time: 90819135491
Symbol: 3481 | Time: 90819127331
Symbol: 3481 | Time: 90819261068
Symbol: 3481 | Time: 90819281121
Symbol: 3481 | Time: 90819316131
Symbol: 3481 | Time: 90819442221
Symbol: 3481 | Time: 90819508723
Symbol: 3481 | Time: 90819531892
Symbol: 3481 | Time: 90819648096
Symbol: 3481 | Time: 90819810330
Symbol: 3481 | Time: 90819830182
Symbol: 3481 | Time: 90819848781
Symbol: 3481 | Time: 90819864994
Symbol: 3481 | Time: 90819925451
Symbol: 3037 | Time: 90819953258
Symbol: 3037 | Time: 90820048162
Symbol: 3481 | Time: 90820058461
Symbol: 3037 | Time: 90820074651
Symbol: 3481 | Time: 90820149165
Symbol: 3481 | Time: 90820316183
Symbol: 3481 | Time: 90820441568
Symbol: 3481 | Time: 90820480895
Symbol: 3481 | Time: 90820590954
Symbol: 3037 | Time: 90820606003
Symbol: 3481 | Time: 90820700976
Symbol: 3481 | Time: 90820767382
Symbol: 3037 | Time: 90820876130
Symbol: 3481 | Time: 90821153758
Symbol: 3481 | Time: 90821273064
Symbol: 3481 | Time: 90821294175
Symbol: 3481 | Time: 90821322491
Symbol: 3481 | Time: 90821330556
Symbol: 3481 | Time: 90821385202
Symbol: 3481 | Time: 90821385243
Symbol: 3481 | Time: 90821385270
Symbol: 3481 | Time: 90821433222
Symbol: 3481 | Time: 90821433396
Symbol: 3481 | Time: 90821458968
Symbol: 3037 | Time: 90821463586
Symbol: 3481 | Time: 90821495498
Symbol: 3481 | Time: 90821519079
Symbol: 3481 | Time: 90821570022
Symbol: 3481 | Time: 90821570022
Symbol: 3481 | Time: 90821700152
Symbol: 3037 | Time: 90821706649
Symbol: 3481 | Time: 90821759689
Symbol: 3037 | Time: 90821863348
Symbol: 6706 | Time: 90821865690
Symbol: 6706 | Time: 90821901938
Symbol: 3037 | Time: 90821970087
Symbol: 3037 | Time: 90822021916
Symbol: 3037 | Time: 90822050951
Symbol: 3481 | Time: 90822077391
Symbol: 3481 | Time: 90822128250
Symbol: 3037 | Time: 90822176071
Symbol: 3481 | Time: 90822203960
Symbol: 3481 | Time: 90822203960
Symbol: 3481 | Time: 90822211004
Symbol: 3481 | Time: 90822374157
Symbol: 3037 | Time: 90822393101
Symbol: 3481 | Time: 90822506141
Symbol: 3481 | Time: 90822685319
Symbol: 3481 | Time: 90822692759
Symbol: 3481 | Time: 90822714591
Symbol: 3481 | Time: 90822725716
Symbol: 3481 | Time: 90822725716
Symbol: 3481 | Time: 90822745991
Symbol: 3481 | Time: 90822780635
Symbol: 3037 | Time: 90822778800
Symbol: 3037 | Time: 90822787664
Symbol: 3037 | Time: 90822787664
Symbol: 3037 | Time: 90822816759
Symbol: 3481 | Time: 90822885547
Symbol: 3481 | Time: 90822885547
Symbol: 3481 | Time: 90822977075
Symbol: 3481 | Time: 90822981953
Symbol: 3037 | Time: 90823020396
Symbol: 3481 | Time: 90823063117
Symbol: 3481 | Time: 90823109442
Symbol: 3481 | Time: 90823125574
Symbol: 3481 | Time: 90823192193
Symbol: 3037 | Time: 90823340550
Symbol: 3481 | Time: 90823384618
Symbol: 3481 | Time: 90823476037
Symbol: 3481 | Time: 90823549794
Symbol: 3481 | Time: 90823652491
Symbol: 3037 | Time: 90823743507
Symbol: 3037 | Time: 90823743665
Symbol: 3481 | Time: 90823740113
Symbol: 3481 | Time: 90823907143
Symbol: 3037 | Time: 90823923613
Symbol: 3481 | Time: 90823943475
Symbol: 3037 | Time: 90823999378
Symbol: 3037 | Time: 90824061803
Symbol: 3481 | Time: 90824104715
Symbol: 3481 | Time: 90824163737
Symbol: 3037 | Time: 90824173679
Symbol: 3037 | Time: 90824446029
Symbol: 3037 | Time: 90824448572
Symbol: 3481 | Time: 90824450000
Symbol: 3481 | Time: 90824490719
Symbol: 3481 | Time: 90824491608
Symbol: 3481 | Time: 90824517789
Symbol: 3037 | Time: 90824560386
Symbol: 3481 | Time: 90824584697
