Metric,Value
Total Trades,11
Total PnL,-503954
Win Rate,36.4%
Win Count,4
Loss Count,7
Avg Win,66131
Avg Loss,-109783
Profit Factor,0.34
Max Single Win,103520
Max Single Loss,-157171
Max Consecutive Wins,2
Max Consecutive Losses,5
Max Drawdown,664959
Avg Holding Duration,0h48m45s
Avg Return%,-0.46%
