Metric,Value
Total Trades,6
Total PnL,-245624
Win Rate,33.3%
Win Count,2
Loss Count,4
Avg Win,142633
Avg Loss,-132723
Profit Factor,0.54
Max Single Win,236486
Max Single Loss,-165563
Max Consecutive Wins,1
Max Consecutive Losses,3
Max Drawdown,482110
Avg Holding Duration,0h38m44s
Avg Return%,-0.41%
