Metric,Value
Total Trades,5
Total PnL,52305
Win Rate,40.0%
Win Count,2
Loss Count,3
Avg Win,203831
Avg Loss,-118452
Profit Factor,1.15
Max Single Win,304569
Max Single Loss,-154799
Max Consecutive Wins,1
Max Consecutive Losses,2
Max Drawdown,288690
Avg Holding Duration,0h46m17s
Avg Return%,0.10%
