Metric,Value
Total Trades,6
Total PnL,-300425
Win Rate,33.3%
Win Count,2
Loss Count,4
Avg Win,68681
Avg Loss,-109447
Profit Factor,0.31
Max Single Win,126074
Max Single Loss,-151515
Max Consecutive Wins,1
Max Consecutive Losses,4
Max Drawdown,437786
Avg Holding Duration,1h30m34s
Avg Return%,-0.50%
