Category,Value,Count,WinRate,TotalPnL,AvgPnL
SignalType,SignalA,6,33.3%,-500228,-83371
EnterCause,StrongGroup,6,33.3%,-500228,-83371
LeaveCause,timeExit,2,50.0%,-91395,-45698
LeaveCause,takeProfit,1,100.0%,40650,40650
LeaveCause,stopLoss,3,0.0%,-449484,-149828
