Metric,Value
Total Trades,9
Total PnL,247941
Win Rate,66.7%
Win Count,6
Loss Count,3
Avg Win,96522
Avg Loss,-110397
Profit Factor,1.75
Max Single Win,236128
Max Single Loss,-177305
Max Consecutive Wins,2
Max Consecutive Losses,2
Max Drawdown,289022
Avg Holding Duration,0h20m45s
Avg Return%,0.28%
