Metric,Value
Total Trades,3
Total PnL,23440
Win Rate,66.7%
Win Count,2
Loss Count,1
Avg Win,89541
Avg Loss,-155642
Profit Factor,1.15
Max Single Win,128342
Max Single Loss,-155642
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,155642
Avg Holding Duration,1h03m02s
Avg Return%,0.08%
