Metric,Value
Total Trades,6
Total PnL,-147674
Win Rate,50.0%
Win Count,3
Loss Count,3
Avg Win,74845
Avg Loss,-124070
Profit Factor,0.60
Max Single Win,124069
Max Single Loss,-184502
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,184502
Avg Holding Duration,2h11m03s
Avg Return%,-0.25%
