Action    ,Symbol    ,Time                ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   
enter     ,6239      ,100348625363        ,-7.39381e+07   ,-1e+07         ,SignalA        ,StrongSingle   ,-              ,39682.5        
leave     ,6239      ,100354355680        ,-6.99045e+07   ,-7.9881e+06    ,-              ,-              ,takeProfit     ,31746          
leave     ,6239      ,100409270996        ,-6.78886e+07   ,-5.97222e+06   ,-              ,-              ,takeProfit     ,23809.5        
leave     ,6239      ,100409347374        ,-6.58688e+07   ,-3.95238e+06   ,-              ,-              ,takeProfit     ,15873          
leave     ,6239      ,101241161368        ,-8.58372e+07   ,39682.5        ,-              ,-              ,bailout        ,0              
enter     ,6239      ,102614855886        ,-1.19814e+08   ,-9.96032e+06   ,SignalA        ,StrongSingle   ,-              ,39604          
leave     ,6239      ,104015115728        ,-9.571e+07     ,-7.94844e+06   ,-              ,-              ,takeProfit     ,31683.2        
leave     ,6239      ,104642182860        ,-8.96459e+07   ,-5.93259e+06   ,-              ,-              ,takeProfit     ,23762.4        
leave     ,6239      ,105016759970        ,-8.15755e+07   ,-3.91279e+06   ,-              ,-              ,takeProfit     ,15841.6        
leave     ,6239      ,105113994537        ,-7.34474e+07   ,-1.88903e+06   ,-              ,-              ,takeProfit     ,7920.79        
leave     ,6239      ,105141480225        ,-6.9371e+07    ,138692         ,-              ,-              ,takeProfit     ,0              
