Metric,Value
Total Trades,8
Total PnL,-130750
Win Rate,37.5%
Win Count,3
Loss Count,5
Avg Win,145141
Avg Loss,-113234
Profit Factor,0.77
Max Single Win,262857
Max Single Loss,-145138
Max Consecutive Wins,2
Max Consecutive Losses,3
Max Drawdown,408338
Avg Holding Duration,1h16m43s
Avg Return%,-0.16%
