Metric,Value
Total Trades,5
Total PnL,-173518
Win Rate,40.0%
Win Count,2
Loss Count,3
Avg Win,54509
Avg Loss,-94179
Profit Factor,0.39
Max Single Win,70850
Max Single Loss,-141343
Max Consecutive Wins,1
Max Consecutive Losses,2
Max Drawdown,211686
Avg Holding Duration,0h13m02s
Avg Return%,-0.35%
