Metric,Value
Total Trades,3
Total PnL,-519587
Win Rate,0.0%
Win Count,0
Loss Count,3
Avg Win,0
Avg Loss,-173196
Profit Factor,0.00
Max Single Win,-160000
Max Single Loss,-195652
Max Consecutive Wins,0
Max Consecutive Losses,3
Max Drawdown,519587
Avg Holding Duration,0h09m30s
Avg Return%,-1.73%
