Metric,Value
Total Trades,3
Total PnL,-71985
Win Rate,33.3%
Win Count,1
Loss Count,2
Avg Win,272953
Avg Loss,-172469
Profit Factor,0.79
Max Single Win,272953
Max Single Loss,-200846
Max Consecutive Wins,1
Max Consecutive Losses,2
Max Drawdown,344938
Avg Holding Duration,1h22m02s
Avg Return%,-0.24%
