Metric,Value
Total Trades,2
Total PnL,263513
Win Rate,50.0%
Win Count,1
Loss Count,1
Avg Win,427692
Avg Loss,-164179
Profit Factor,2.61
Max Single Win,427692
Max Single Loss,-164179
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,164179
Avg Holding Duration,2h10m12s
Avg Return%,1.32%
