Metric,Value
Total Trades,1
Total PnL,-9731
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-9731
Profit Factor,0.00
Max Single Win,-9731
Max Single Loss,-9731
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,9731
Avg Holding Duration,0h20m17s
Avg Return%,-0.10%
