Metric,Value
Total Trades,2
Total PnL,-4883
Win Rate,50.0%
Win Count,1
Loss Count,1
Avg Win,134328
Avg Loss,-139211
Profit Factor,0.96
Max Single Win,134328
Max Single Loss,-139211
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,139211
Avg Holding Duration,0h37m45s
Avg Return%,-0.02%
