00706L,期元大S&P日圓正2,T,20.89,9999.95,0.01,00,  ,0
00707R,期元大S&P日圓反1,T,31.02,9999.95,0.01,00,  ,0
00708L,期元大S&P黃金正2,T,84.00,9999.95,0.01,00,  ,0
00709 ,富邦歐洲        ,T,35.11,9999.95,0.01,00,  ,0
00710B,復華彭博非投等債,T,19.06,9999.95,0.01,00,  ,0
00711B,復華彭博新興債  ,T,16.63,9999.95,0.01,00,  ,0
00712 ,復華富時不動產  ,T,9.24,9999.95,0.01,00,  ,0
00713 ,元大台灣高息低波,T,50.50,55.55,45.45,00,  ,0
00714 ,群益道瓊美國地產,T,20.30,9999.95,0.01,00,  ,0
00715L,期街口布蘭特正2 ,T,10.11,9999.95,0.01,00,  ,0
00717 ,富邦美國特別股  ,T,14.78,9999.95,0.01,00,  ,0
00728 ,第一金工業30    ,T,36.19,39.80,32.58,00,  ,0
00730 ,富邦臺灣優質高息,T,22.13,24.34,19.92,00,  ,0
00731 ,復華富時高息低波,T,66.80,73.45,60.15,00,  ,0
00733 ,富邦臺灣中小    ,T,45.80,50.35,41.22,00,  ,0
00735 ,國泰臺韓科技    ,T,48.30,9999.95,0.01,00,  ,0
00736 ,國泰新興市場    ,T,27.48,9999.95,0.01,00,  ,0
00737 ,國泰AI機器人    ,T,35.32,9999.95,0.01,00,  ,0
00738U,期元大道瓊白銀  ,T,43.95,9999.95,0.01,00,  ,0
00739 ,元大MSCI A股    ,T,25.40,9999.95,0.01,00,  ,0
00752 ,中信中國50      ,T,26.72,9999.95,0.01,00,  ,0
00753L,中信中國50正2   ,T,12.73,9999.95,0.01,00,  ,0
00757 ,統一FANG+       ,T,122.85,9999.95,0.01,00,  ,0
00762 ,元大全球AI      ,T,83.50,9999.95,0.01,00,  ,0
00763U,期街口道瓊銅    ,T,28.41,9999.95,0.01,00,  ,0
00770 ,國泰北美科技    ,T,57.25,9999.95,0.01,00,  ,0
00771 ,元大US高息特別股,T,16.05,9999.95,0.01,00,  ,0
00775B,新光投等債15+   ,T,33.16,9999.95,0.01,00,  ,0
00783 ,富邦中証500     ,T,23.85,9999.95,0.01,00,  ,0
00830 ,國泰費城半導體  ,T,56.10,9999.95,0.01,00,  ,0
00850 ,元大臺灣ESG永續 ,T,53.10,58.40,47.79,00,  ,0
00851 ,台新全球AI      ,T,54.55,9999.95,0.01,00,  ,0
00852L,國泰美國道瓊正2 ,T,29.89,9999.95,0.01,00,  ,0
00861 ,元大全球未來通訊,T,53.95,9999.95,0.01,00,  ,0
00865B,國泰US短期公債  ,T,46.83,9999.95,0.01,00,  ,0
00875 ,國泰網路資安    ,T,39.09,9999.95,0.01,00,  ,0
00876 ,元大全球5G      ,T,48.68,9999.95,0.01,00,  ,0
00878 ,國泰永續高股息  ,T,20.92,23.01,18.83,00,  ,0
