Action    ,Symbol    ,Time                ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   
enter     ,2485      ,93759083320         ,-3.4707e+07    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,260417         
leave     ,2485      ,95508131685         ,-4.4746e+07    ,-39062.5       ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100523167524        ,-9.0019e+07    ,-1.00391e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100526775119        ,-8.0032e+07    ,-52151.5       ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100526775119        ,-9.0032e+07    ,-1.00522e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100529946894        ,-8.00451e+07   ,-65240.5       ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100529946894        ,-9.00451e+07   ,-1.00652e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100535210035        ,-8.00582e+07   ,-78329.5       ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100535210035        ,-9.00582e+07   ,-1.00783e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100538974324        ,-8.00713e+07   ,-91418.5       ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100538974324        ,-9.00713e+07   ,-1.00914e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100541894979        ,-8.00844e+07   ,-104508        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100541894979        ,-9.00844e+07   ,-1.01045e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100542104538        ,-8.00975e+07   ,-117597        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100542104538        ,-9.00975e+07   ,-1.01176e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100542923935        ,-8.01106e+07   ,-130686        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100542923935        ,-9.01106e+07   ,-1.01307e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100558231479        ,-8.01237e+07   ,-143775        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100558231479        ,-9.01237e+07   ,-1.01438e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100600227036        ,-8.01368e+07   ,-156864        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100600227036        ,-9.01368e+07   ,-1.01569e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100601253794        ,-8.01498e+07   ,-169953        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100601253794        ,-9.01498e+07   ,-1.017e+07     ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100606513698        ,-8.01629e+07   ,-183042        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100606513698        ,-9.01629e+07   ,-1.0183e+07    ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100609704755        ,-8.0176e+07    ,-196131        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100609704755        ,-9.0176e+07    ,-1.01961e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100611066131        ,-8.01891e+07   ,-209220        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100611066131        ,-9.01891e+07   ,-1.02092e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100619633208        ,-8.02022e+07   ,-222309        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100619633208        ,-9.02022e+07   ,-1.02223e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100623270292        ,-8.02153e+07   ,-235398        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100623270292        ,-9.02153e+07   ,-1.02354e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100626813385        ,-8.02284e+07   ,-248487        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100626813385        ,-9.02284e+07   ,-1.02485e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100627818397        ,-8.02415e+07   ,-261576        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100627818397        ,-9.02415e+07   ,-1.02616e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100629280649        ,-8.02546e+07   ,-274665        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100629280649        ,-9.02546e+07   ,-1.02747e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100630464576        ,-8.02807e+07   ,-300843        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100630464576        ,-9.02807e+07   ,-1.03008e+07   ,SignalA        ,StrongGroup    ,-              ,262123         
leave     ,2485      ,100632194164        ,-8.02938e+07   ,-313949        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100632194164        ,-9.02938e+07   ,-1.03139e+07   ,SignalA        ,StrongGroup    ,-              ,262123         
leave     ,2485      ,100635977641        ,-8.03069e+07   ,-327055        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100635977641        ,-9.03069e+07   ,-1.03271e+07   ,SignalA        ,StrongGroup    ,-              ,262123         
leave     ,2485      ,100637492303        ,-8.03201e+07   ,-340161        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100637492303        ,-9.03201e+07   ,-1.03402e+07   ,SignalA        ,StrongGroup    ,-              ,262123         
leave     ,2485      ,100638913095        ,-8.03332e+07   ,-353267        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100638913095        ,-9.03332e+07   ,-1.03533e+07   ,SignalA        ,StrongGroup    ,-              ,262123         
leave     ,2485      ,100649166572        ,-8.03463e+07   ,-366373        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100649166572        ,-9.03463e+07   ,-1.03664e+07   ,SignalA        ,StrongGroup    ,-              ,262123         
leave     ,2485      ,100713886782        ,-8.03594e+07   ,-379480        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100713886782        ,-9.03594e+07   ,-1.03795e+07   ,SignalA        ,StrongGroup    ,-              ,262123         
leave     ,2485      ,100722178496        ,-8.03725e+07   ,-392586        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100722178496        ,-9.03725e+07   ,-1.03926e+07   ,SignalA        ,StrongGroup    ,-              ,261780         
leave     ,2485      ,100722938931        ,-8.03856e+07   ,-405675        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100722938931        ,-9.03856e+07   ,-1.04057e+07   ,SignalA        ,StrongGroup    ,-              ,261438         
leave     ,2485      ,100722965127        ,-8.03986e+07   ,-418747        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100722965127        ,-9.03986e+07   ,-1.04187e+07   ,SignalA        ,StrongGroup    ,-              ,261438         
leave     ,2485      ,100722988635        ,-8.04117e+07   ,-431819        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,100722988635        ,-9.04117e+07   ,-1.04318e+07   ,SignalA        ,StrongGroup    ,-              ,261097         
leave     ,2485      ,100724796536        ,-8.04248e+07   ,-444873        ,-              ,-              ,stopLoss       ,0              
