Metric,Value
Total Trades,3
Total PnL,94243
Win Rate,66.7%
Win Count,2
Loss Count,1
Avg Win,178701
Avg Loss,-263158
Profit Factor,1.36
Max Single Win,329709
Max Single Loss,-263158
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,263158
Avg Holding Duration,2h15m20s
Avg Return%,0.31%
