Metric,Value
Total Trades,6
Total PnL,1036641
Win Rate,66.7%
Win Count,4
Loss Count,2
Avg Win,327492
Avg Loss,-136664
Profit Factor,4.79
Max Single Win,388775
Max Single Loss,-144628
Max Consecutive Wins,4
Max Consecutive Losses,2
Max Drawdown,273328
Avg Holding Duration,2h51m02s
Avg Return%,1.73%
