Metric,Value
Total Trades,3
Total PnL,552486
Win Rate,66.7%
Win Count,2
Loss Count,1
Avg Win,283069
Avg Loss,-13652
Profit Factor,41.47
Max Single Win,305915
Max Single Loss,-13652
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,13652
Avg Holding Duration,3h23m53s
Avg Return%,1.84%
