Metric,Value
Total Trades,2
Total PnL,154277
Win Rate,50.0%
Win Count,1
Loss Count,1
Avg Win,301818
Avg Loss,-147541
Profit Factor,2.05
Max Single Win,301818
Max Single Loss,-147541
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,147541
Avg Holding Duration,2h10m30s
Avg Return%,0.77%
