Metric,Value
Total Trades,3
Total PnL,151535
Win Rate,66.7%
Win Count,2
Loss Count,1
Avg Win,174193
Avg Loss,-196850
Profit Factor,1.77
Max Single Win,262549
Max Single Loss,-196850
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,196850
Avg Holding Duration,2h47m29s
Avg Return%,0.51%
