Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,MemberRank,RawMemberRank,M1Symbol
3491,SignalA,StrongGroup,09:25:41,09:31:08,stopLoss,-140485,-1.40%,0h05m27s,低軌衛星,7,1,2,
6223,SignalA,StrongGroup,09:31:08,09:34:58,stopLoss,-103139,-1.03%,0h03m50s,探針卡,8,1,1,
1802,SignalA,StrongGroup,09:47:52,09:52:34,stopLoss,-147849,-1.48%,0h04m42s,玻纖布,3,1,2,
5274,SignalA,StrongGroup,09:51:27,10:47:49,stopLoss,-206186,-2.06%,0h56m22s,IC設計,9,1,2,
