Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,2485      ,94209633732         ,259000         ,-2.9651e+07    ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,386100         ,低軌衛星(G14/M1/R2)
leave     ,2485      ,100552328428        ,255500         ,-2.3608e+07    ,-135135        ,-              ,-              ,stopLoss       ,0              
