Category,Value,Count,WinRate,TotalPnL,AvgPnL
SignalType,SignalA,3,66.7%,193120,64373
EnterCause,StrongGroup,3,66.7%,193120,64373
LeaveCause,timeExit,1,0.0%,-13038,-13038
LeaveCause,takeProfit,2,100.0%,206158,103079
