Metric,Value
Total Trades,3
Total PnL,193120
Win Rate,66.7%
Win Count,2
Loss Count,1
Avg Win,103079
Avg Loss,-13038
Profit Factor,15.81
Max Single Win,120321
Max Single Loss,-13038
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,13038
Avg Holding Duration,1h14m26s
Avg Return%,0.64%
