Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,MemberRank,RawMemberRank,M1Symbol,EntryPrice,EntryVWAP,DayHigh,PrevClose,0050OpenChg%,VolRatio,MonthTradingVal,IsPrevDayLU,IsDisposition,HadCircuitBreaker,GroupLimitUpCount,0050EntryChg%
2408,SignalA,StrongGroup,09:35:01,13:20:00,timeExit,174825,1.75%,3h44m59s,記憶體,5,2,2,8299,143.00,141.63,143.00,136.50,0.733,2.99,4772668725,0,0,0,0,0.896
3711,SignalA,StrongGroup,09:49:29,13:20:00,timeExit,21739,0.22%,3h30m31s,IC封測,1,1,1,,230.00,227.64,232.00,217.50,0.733,10.14,1174909850,0,0,0,0,0.896
8299,SignalA,StrongGroup,09:35:17,13:20:00,timeExit,-46948,-0.47%,3h44m43s,記憶體,4,1,1,,1065.00,1057.09,1070.00,1015.00,0.733,3.16,1663479750,0,0,0,0,0.896
3661,SignalA,StrongGroup,09:56:42,13:20:00,timeExit,92308,0.92%,3h23m18s,設計IP,8,1,1,,3250.00,3231.42,3275.00,3110.00,0.733,5.10,1410935500,0,1,1,0,0.896
2449,SignalA,StrongGroup,09:35:31,13:20:00,timeExit,160920,1.61%,3h44m29s,IC封測,1,2,2,3711,217.50,216.54,218.00,212.00,0.733,2.93,2195898325,0,0,0,0,0.896
2344,SignalA,StrongGroup,11:35:33,13:20:00,timeExit,124777,1.25%,1h44m27s,記憶體,5,2,2,8299,56.10,55.62,56.40,53.60,0.733,3.45,2185249310,0,0,1,0,0.896
3231,SignalA,StrongGroup,10:22:00,13:20:00,timeExit,-68493,-0.68%,2h58m00s,ODM,9,2,2,3706,146.00,144.26,146.00,142.50,0.733,8.55,842508800,0,0,1,0,0.896
3665,SignalA,StrongGroup,09:33:07,13:20:00,timeExit,-406250,-4.06%,3h46m53s,連接線材,3,1,1,,1600.00,1577.42,1600.00,1500.00,0.733,4.98,2760035250,0,1,0,0,0.896
6531,SignalA,StrongGroup,09:35:32,13:20:00,timeExit,48368,0.48%,3h44m28s,設計IP,6,1,1,,413.50,412.43,417.00,397.00,0.733,8.60,233982925,0,0,0,0,0.896
2368,SignalA,StrongGroup,09:32:47,13:20:00,timeExit,-47619,-0.48%,3h47m13s,CCL,8,1,1,,630.00,624.81,635.00,610.00,0.733,4.60,2952679900,0,0,0,0,0.896
3706,SignalA,StrongGroup,10:14:03,13:20:01,timeExit,-66152,-0.66%,3h05m58s,ODM,9,1,1,,90.70,90.01,90.70,88.50,0.733,5.73,300872935,0,0,1,0,0.896
4979,SignalA,StrongGroup,12:24:53,13:20:02,timeExit,-66519,-0.67%,0h55m09s,CPO,5,1,1,,225.50,222.84,228.50,208.00,0.733,15.48,792634225,0,0,1,0,0.896
3081,SignalA,StrongGroup,10:50:07,13:20:03,timeExit,-446429,-4.46%,2h29m56s,CPO,4,2,2,4979,560.00,553.95,575.00,528.00,0.733,13.43,583807575,1,0,1,0,0.896
5439,SignalA,StrongGroup,12:35:00,13:20:04,timeExit,30030,0.30%,0h45m04s,印刷電路板,2,2,2,5469,333.00,331.70,343.00,315.50,0.733,10.48,397192150,0,0,1,1,0.896
