Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,MemberRank,RawMemberRank,M1Symbol,EntryPrice,EntryVWAP,DayHigh,PrevClose,0050OpenChg%,VolRatio,MonthTradingVal,IsPrevDayLU,IsDisposition,HadCircuitBreaker,GroupLimitUpCount,0050EntryChg%
2455,SignalA,StrongGroup,10:17:57,13:20:00,timeExit,-253968,-2.54%,3h02m03s,砷化鎵,6,1,1,,157.50,155.81,159.50,148.00,0.000,3.39,640955625,0,0,1,0,-0.284
3105,SignalA,StrongGroup,09:36:41,13:20:00,timeExit,-79787,-0.80%,3h43m19s,砷化鎵,10,2,2,2455,188.00,187.54,190.00,184.00,0.000,0.67,4101412450,0,0,1,0,-0.284
6125,SignalA,StrongGroup,09:30:16,13:20:00,timeExit,-222805,-2.23%,3h49m44s,設備儀器商,10,1,1,,76.30,75.61,78.00,72.20,0.000,5.61,247760155,0,0,1,0,-0.284
1301,SignalA,StrongGroup,12:35:52,13:20:00,timeExit,-49322,-0.49%,0h44m08s,塑膠,2,2,2,1303,40.55,40.24,41.10,38.20,0.000,4.25,575715795,0,0,1,0,-0.284
2353,SignalA,StrongGroup,11:20:33,13:20:00,timeExit,0,0.00%,1h59m27s,筆記型電腦,19,1,1,,27.05,26.84,27.25,26.20,0.000,3.79,665400467,0,0,1,0,-0.284
3037,SignalA,StrongGroup,09:30:26,13:20:00,timeExit,-582121,-5.82%,3h49m34s,ABF,3,1,1,,240.50,239.87,244.50,230.50,0.000,2.99,5737640350,0,0,1,0,-0.284
2303,SignalA,StrongGroup,09:32:50,13:20:00,lockedLimitUp,246212,2.46%,3h47m10s,晶圓代工,18,1,1,,52.80,52.28,53.60,49.20,0.000,7.69,2492220055,0,0,1,0,-0.284
4966,SignalA,StrongGroup,10:35:39,13:20:01,timeExit,-192308,-1.92%,2h44m22s,IC設計,10,1,1,,624.00,618.39,635.00,584.00,0.000,6.00,468356750,0,1,1,1,-0.284
5347,SignalA,StrongGroup,10:13:39,13:20:01,timeExit,0,0.00%,3h06m22s,晶圓代工,9,2,2,2303,102.00,100.99,104.00,99.50,0.000,5.97,711583945,0,0,1,0,-0.284
1303,SignalA,StrongGroup,09:52:34,13:20:01,lockedLimitUp,237342,2.37%,3h27m27s,玻纖布,20,1,1,,63.20,62.51,63.90,58.90,0.000,4.00,4026569790,0,0,1,0,-0.284
1608,SignalA,StrongGroup,09:50:51,13:20:03,timeExit,165816,1.66%,3h29m12s,電線電纜,6,2,2,1605,39.20,39.07,39.45,38.40,0.000,0.95,393237757,0,0,1,0,-0.284
6104,SignalA,StrongGroup,09:46:55,13:20:04,timeExit,73996,0.74%,3h33m09s,IC設計,20,2,2,4966,94.60,93.94,95.50,91.30,0.000,0.66,210588275,0,0,1,0,-0.284
8086,SignalA,StrongGroup,10:18:02,13:20:08,timeExit,-45662,-0.46%,3h02m06s,砷化鎵,6,2,2,2455,109.50,108.39,110.00,106.00,0.000,1.22,299715955,0,0,1,0,-0.284
2406,SignalA,StrongGroup,09:34:00,13:20:08,timeExit,-218688,-2.19%,3h46m08s,太陽能,3,2,2,6443,25.15,24.93,25.50,23.95,0.000,0.70,598452897,0,0,1,0,-0.284
5483,SignalA,StrongGroup,11:42:15,13:20:10,timeExit,0,0.00%,1h37m55s,太陽能,6,2,2,2406,123.00,122.49,124.50,118.50,0.000,2.77,706793940,0,0,1,2,-0.284
2495,SignalA,StrongGroup,10:24:08,13:20:11,lockedLimitUp,152439,1.52%,2h56m03s,記憶體,7,1,1,,32.80,32.46,33.00,30.30,0.000,1.76,395168887,0,0,1,3,-0.284
1605,SignalA,StrongGroup,09:36:17,13:20:26,lockedLimitUp,352480,3.52%,3h44m09s,不鏽鋼,4,1,1,,38.30,37.98,38.65,36.05,0.000,2.70,2922125232,0,0,1,0,-0.284
