Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,MemberRank,RawMemberRank
8028,SignalA,StrongGroup,09:38:22,09:46:23,takeProfit,103093,1.03%,0h08m01s,再生晶圓,1,2,2
2345,SignalA,StrongGroup,09:51:06,10:04:54,stopLoss,-133891,-1.34%,0h13m48s,網路通訊,9,1,2
3236,SignalA,StrongGroup,10:20:11,10:37:00,stopLoss,-154799,-1.55%,0h16m49s,被動元件,3,1,5
8028,SignalA,StrongGroup,10:46:36,10:53:36,takeProfit,304569,3.05%,0h07m00s,再生晶圓,1,2,2
6139,SignalA,StrongGroup,10:14:12,13:20:01,timeExit,-66667,-0.67%,3h05m49s,廠務,5,1,1
