Metric,Value
Total Trades,3
Total PnL,434590
Win Rate,66.7%
Win Count,2
Loss Count,1
Avg Win,288074
Avg Loss,-141557
Profit Factor,4.07
Max Single Win,295082
Max Single Loss,-141557
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,141557
Avg Holding Duration,0h23m26s
Avg Return%,1.45%
