Action    ,Symbol    ,Time                ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   
enter     ,1303      ,91000217931         ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,123609         
leave     ,1303      ,91000602906         ,-2.00124e+07   ,-12360.9       ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91000602906         ,-3.00124e+07   ,-1.00124e+07   ,SignalA        ,StrongGroup    ,-              ,123609         
leave     ,1303      ,91000846753         ,-2.00247e+07   ,-24721.9       ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91000846753         ,-3.00247e+07   ,-1.00247e+07   ,SignalA        ,StrongGroup    ,-              ,123609         
leave     ,1303      ,91001712254         ,-3.00371e+07   ,-37082.8       ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91101491885         ,-3.00314e+07   ,-1.00371e+07   ,SignalA        ,StrongGroup    ,-              ,123916         
leave     ,1303      ,91102759605         ,-2.00438e+07   ,-49474.4       ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91102759605         ,-3.00438e+07   ,-1.00495e+07   ,SignalA        ,StrongGroup    ,-              ,123916         
leave     ,1303      ,91103684058         ,-2.00562e+07   ,-61866         ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91103684058         ,-3.00562e+07   ,-1.00619e+07   ,SignalA        ,StrongGroup    ,-              ,123916         
leave     ,1303      ,91104112818         ,-2.00686e+07   ,-74257.5       ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91104112818         ,-3.00686e+07   ,-1.00743e+07   ,SignalA        ,StrongGroup    ,-              ,123916         
leave     ,1303      ,91104469001         ,-2.0081e+07    ,-86649.1       ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91104469001         ,-3.0081e+07    ,-1.00866e+07   ,SignalA        ,StrongGroup    ,-              ,123916         
leave     ,1303      ,91105067847         ,-2.01058e+07   ,-111432        ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91105067847         ,-3.01058e+07   ,-1.01114e+07   ,SignalA        ,StrongGroup    ,-              ,123916         
leave     ,1303      ,91105311849         ,-3.01306e+07   ,-136215        ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91105311849         ,-4.01306e+07   ,-1.01362e+07   ,SignalA        ,StrongGroup    ,-              ,123916         
leave     ,1303      ,91105575802         ,-3.01554e+07   ,-160999        ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91106800543         ,-4.01661e+07   ,-1.0161e+07    ,SignalA        ,StrongGroup    ,-              ,124069         
leave     ,1303      ,91107029544         ,-3.01785e+07   ,-173406        ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91107029544         ,-4.01785e+07   ,-1.01734e+07   ,SignalA        ,StrongGroup    ,-              ,124069         
leave     ,1303      ,91107063876         ,-3.01909e+07   ,-185812        ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91107063876         ,-4.01909e+07   ,-1.01858e+07   ,SignalA        ,StrongGroup    ,-              ,123916         
leave     ,1303      ,91108575863         ,-3.03166e+07   ,-198204        ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91108575863         ,-4.03166e+07   ,-1.01982e+07   ,SignalA        ,StrongGroup    ,-              ,123916         
leave     ,1303      ,91109453528         ,-3.0329e+07    ,-210596        ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91109453528         ,-4.0329e+07    ,-1.02106e+07   ,SignalA        ,StrongGroup    ,-              ,123916         
leave     ,1303      ,91109870116         ,-3.03414e+07   ,-222987        ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91109870116         ,-4.03414e+07   ,-1.0223e+07    ,SignalA        ,StrongGroup    ,-              ,123916         
leave     ,1303      ,91110217619         ,-3.03538e+07   ,-235379        ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91110217619         ,-4.03538e+07   ,-1.02354e+07   ,SignalA        ,StrongGroup    ,-              ,123916         
leave     ,1303      ,91111000253         ,-3.03662e+07   ,-247770        ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91111000253         ,-4.03662e+07   ,-1.02478e+07   ,SignalA        ,StrongGroup    ,-              ,123916         
leave     ,1303      ,91111033777         ,-3.03786e+07   ,-260162        ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91111033777         ,-4.03786e+07   ,-1.02602e+07   ,SignalA        ,StrongGroup    ,-              ,123916         
leave     ,1303      ,91111120429         ,-3.0391e+07    ,-272553        ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91111120429         ,-4.0391e+07    ,-1.02726e+07   ,SignalA        ,StrongGroup    ,-              ,123916         
leave     ,1303      ,91112729339         ,-3.04317e+07   ,-284945        ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91112729339         ,-4.04317e+07   ,-1.02849e+07   ,SignalA        ,StrongGroup    ,-              ,123916         
leave     ,1303      ,91113684980         ,-3.05007e+07   ,-297337        ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91113684980         ,-4.05007e+07   ,-1.02973e+07   ,SignalA        ,StrongGroup    ,-              ,123916         
