Action    ,Symbol    ,Time                ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   
enter     ,1303      ,91000217931         ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,123609         
enter     ,2885      ,91000247895         ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,215750         
enter     ,2308      ,91000295249         ,-3e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,7633.59        
leave     ,1303      ,91000602906         ,-2.00124e+07   ,-12360.9       ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91000602906         ,-3.00124e+07   ,-1.00124e+07   ,SignalA        ,StrongGroup    ,-              ,123609         
leave     ,1303      ,91000846753         ,-2.00247e+07   ,-24721.9       ,-              ,-              ,stopLoss       ,0              
enter     ,1303      ,91000846753         ,-3.00247e+07   ,-1.00247e+07   ,SignalA        ,StrongGroup    ,-              ,123609         
enter     ,8021      ,91001124477         ,-4.00247e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,46729          
leave     ,1303      ,91001712254         ,-3.00371e+07   ,-37082.8       ,-              ,-              ,stopLoss       ,0              
leave     ,2885      ,91002264536         ,-2.00479e+07   ,-10787.5       ,-              ,-              ,stopLoss       ,0              
enter     ,2885      ,91002264536         ,-3.00479e+07   ,-1.00108e+07   ,SignalA        ,StrongGroup    ,-              ,215750         
leave     ,8021      ,91003310459         ,-2.00712e+07   ,-23364.5       ,-              ,-              ,stopLoss       ,0              
enter     ,8021      ,91003310459         ,-3.00712e+07   ,-1.00234e+07   ,SignalA        ,StrongGroup    ,-              ,46729          
leave     ,8021      ,91003822644         ,-2.00946e+07   ,-46729         ,-              ,-              ,stopLoss       ,0              
enter     ,8021      ,91003822644         ,-3.00946e+07   ,-1.00467e+07   ,SignalA        ,StrongGroup    ,-              ,46729          
enter     ,4722      ,91004524093         ,-4.00946e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,56022.4        
leave     ,4722      ,91004589035         ,-3.01226e+07   ,-28011.2       ,-              ,-              ,stopLoss       ,0              
enter     ,4722      ,91004589035         ,-4.01226e+07   ,-1.0028e+07    ,SignalA        ,StrongGroup    ,-              ,56022.4        
