Metric,Value
Total Trades,2
Total PnL,236083
Win Rate,50.0%
Win Count,1
Loss Count,1
Avg Win,373776
Avg Loss,-137694
Profit Factor,2.71
Max Single Win,373776
Max Single Loss,-137694
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,137694
Avg Holding Duration,2h03m36s
Avg Return%,1.18%
