Metric,Value
Total Trades,1
Total PnL,-109409
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-109409
Profit Factor,0.00
Max Single Win,-109409
Max Single Loss,-109409
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,109409
Avg Holding Duration,0h00m13s
Avg Return%,-1.09%
