Metric,Value
Total Trades,2
Total PnL,-376225
Win Rate,0.0%
Win Count,0
Loss Count,2
Avg Win,0
Avg Loss,-188113
Profit Factor,0.00
Max Single Win,-185950
Max Single Loss,-190275
Max Consecutive Wins,0
Max Consecutive Losses,2
Max Drawdown,376225
Avg Holding Duration,0h16m28s
Avg Return%,-1.88%
