Metric,Value
Total Trades,1
Total PnL,-206540
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-206540
Profit Factor,0.00
Max Single Win,-206540
Max Single Loss,-206540
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,206540
Avg Holding Duration,0h07m44s
Avg Return%,-2.07%
