Metric,Value
Total Trades,1
Total PnL,-170758
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-170758
Profit Factor,0.00
Max Single Win,-170758
Max Single Loss,-170758
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,170758
Avg Holding Duration,4h05m12s
Avg Return%,-1.71%
