Metric,Value
Total Trades,1
Total PnL,15964
Win Rate,100.0%
Win Count,1
Loss Count,0
Avg Win,15964
Avg Loss,0
Profit Factor,0.00
Max Single Win,15964
Max Single Loss,15964
Max Consecutive Wins,1
Max Consecutive Losses,0
Max Drawdown,0
Avg Holding Duration,2h37m33s
Avg Return%,0.16%
